Sample	Top over-represented sequence	Sum of remaining over-represented sequences
agr_buri_ITH0620_R1	0.13573012940759255	0.0
alo_rosa_LG1370_R1	0.3797672652749088	0.30527070603565654
cat_bet_MTR33144_R1	0.5607094642878275	2.11106953998975
cat_bet_MTR33202_R1	0.13386577729846733	0.11172112319834818
cat_bon_MTR16122_R1	0.8243311846113667	0.5246391769432087
cat_bon_MTR16123_R1	0.6762830374217991	1.2469480217837772
cat_bon_RPD024_R1	0.703933369352609	0.25451592563988823
cat_cam_PEU322_R1	0.3618131693562772	0.4424287570270687
cat_cam_PEU450_R1	0.35551233662419857	0.8034051390239481
cat_canav_MTR33152_R1	0.14063621616642802	0.37071630459025945
cat_catu_FRAG15P94_R1	0.3127531119815783	0.8673879811028149
cat_cond_MTR35005_R1	0.16735919757480158	0.24103095513080955
cat_cond_MTR35190_R1	0.13338828247501863	0.3366014411247269
cat_fazpar_RPD015_R1	0.12971806508754252	0.12542276491908083
cat_igra_LAR009_R1	0.3049766608196513	0.6473109865439604
cat_ilh_ABA45_R1	0.27589034873901946	0.2578942465226555
cat_itp_MTR33052_R1	0.518189185776608	0.2623763835667948
cat_itp_MTR33053_R1	0.1390281837881563	0.4774572442299029
cat_itp_MTR33122_R1	0.15753797230009622	0.2582116406544207
cat_itp_MTR33140_R1	0.17585779131072204	0.40507203473455694
cat_jag_PEU109_R1	0.19735997666850236	0.44044874665816725
cat_jeq_MTR17108_R1	0.9748036319635975	1.3920986441533856
cat_jeq_MTR17172_R1	0.1583486662767857	0.21745254883064855
cat_jeq_MTR17377_R1	1.1330238105379733	3.304842091313958
cat_jibo_LG1377_concat_R1	0.19777133632520555	0.39928621208556575
cat_jibo_MTR18419_R1	0.21815648306817126	0.7048416657182439
cat_lagjac_MTR33051_R1	0.9025111358333585	4.3890550666418475
cat_lagjac_MTR33134_R1	0.25335557036214784	0.5951888225004717
cat_lon_MTR16317_R1	0.20207110110875237	0.1269399194552876
cat_lon_MTR16340_R1	0.17468731518191577	0.26930200522297426
cat_mig_MTR19889_R1	0.3833353408563109	0.6132240615923672
cat_mig_RPD188_R1	0.6911218038584337	1.1975449894328722
cat_nilo_PEU271_R1	0.1997479819092693	0.461517021683516
cat_oli_MD1779_R1	0.25329749295418624	0.6585213628551736
cat_rem_MTR19915_R1	0.20905686773126717	0.7444887699040217
cat_rem_RPD128_R1	0.20071595588387445	0.7145631284311525
cat_taquara_MTR33065_R1	0.13404254479593727	0.33615202800017363
cat_taquara_MTR33145_R1	0.5659008972390467	0.8679187031822164
cat_tei_MRT5815_R1	0.13023512705715357	0.34922785720771377
cat_tei_MRT5816_R1	0.4696360637399446	0.1411760232092748
cat_uba_PEU558_R1	0.24718938512889788	0.6796408777601916
cat_una_RPD297_R1	0.34283015563023944	0.4621270284560898
cat_una_RPD305_R1	0.31284572941541355	0.13056736120841939
cat_val_PEU158_R1	0.29064972128752653	0.6155633723679216
cat_val_PEU196_R1	0.2302126466016002	0.58854570261803
cat_wgu_MTR22253_R1	0.43889393974677693	0.6951015444219123
cat_wgu_MTR22254_R1	0.7370381615737741	3.1773668015607233
ihe_apia_CTMZ11219_R1	0.387957555116434	1.406761103943424
ihe_biri_3519_R1	0.46056806740612105	1.8956141900799919
ihe_biri_MRT9424_R1	0.5143248998448046	2.024412603313242
ihe_biri_MRT9425_R1	0.45890629148604173	1.8438613012479559
ihe_camp_MTR11763_R1	0.42326918340912634	1.859616190821742
ihe_cana_3436_R1	0.490308539148907	1.7782130927631705
ihe_cana_3437_R1	0.5361042274946635	1.663763279927374
ihe_cana_3533_R1	0.4360204345063976	1.982140465463738
ihe_cana_3543_R1	0.5361394635708464	1.9902340396798581
ihe_coti_3420_R1	0.3755529487861164	2.2833290394724575
ihe_crag_CTMZ03573_R1	0.5011073627666895	2.1085862309346384
ihe_eldo_CTMZ03592_R1	0.4085386609410594	1.9107905003796706
ihe_eldo_CTMZ03593_R1	0.40808364903182937	1.7751259975851534
ihe_embu_CTMZ03569_R1	0.3921874443208996	1.6566485171090095
ihe_grao_MTR33250_R1	0.5497301052363551	1.9212069660618063
