Sample	Unique Reads	Duplicate Reads
agr_buri_ITH0620_R1	324253.0	4934712.0
alo_rosa_LG1370_R1	330729.0	3362059.0
cat_bet_MTR33144_R1	177668.0	2019370.0
cat_bet_MTR33202_R1	194281.0	2411314.0
cat_bon_MTR16122_R1	191292.0	2194157.0
cat_bon_MTR16123_R1	187157.0	2133469.0
cat_bon_RPD024_R1	160681.0	1701285.0
cat_cam_PEU322_R1	181082.0	1125117.0
cat_cam_PEU450_R1	187496.0	2239424.0
cat_canav_MTR33152_R1	192968.0	2434378.0
cat_catu_FRAG15P94_R1	206298.0	2687678.0
cat_cond_MTR35005_R1	194954.0	2652813.0
cat_cond_MTR35190_R1	194479.0	2440685.0
cat_fazpar_RPD015_R1	183343.0	2144783.0
cat_igra_LAR009_R1	307523.0	4500058.0
cat_ilh_ABA45_R1	224085.0	2448716.0
cat_itp_MTR33052_R1	165327.0	1632472.0
cat_itp_MTR33053_R1	153992.0	1366563.0
cat_itp_MTR33122_R1	179610.0	2210290.0
cat_itp_MTR33140_R1	145201.0	1273559.0
cat_jag_PEU109_R1	193509.0	2354120.0
cat_jeq_MTR17108_R1	194525.0	2704623.0
cat_jeq_MTR17172_R1	188085.0	2385350.0
cat_jeq_MTR17377_R1	161123.0	1951807.0
cat_jibo_LG1377_concat_R1	591335.0	6166975.0
cat_jibo_MTR18419_R1	310798.0	4020955.0
cat_lagjac_MTR33051_R1	177410.0	2132700.0
cat_lagjac_MTR33134_R1	174324.0	2036403.0
cat_lon_MTR16317_R1	164600.0	1597651.0
cat_lon_MTR16340_R1	155413.0	1488095.0
cat_mig_MTR19889_R1	171681.0	1961960.0
cat_mig_RPD188_R1	191278.0	2462234.0
cat_nilo_PEU271_R1	184140.0	2205371.0
cat_oli_MD1779_R1	153785.0	1381169.0
cat_rem_MTR19915_R1	179331.0	2353951.0
cat_rem_RPD128_R1	186759.0	2326245.0
cat_taquara_MTR33065_R1	185947.0	2348323.0
cat_taquara_MTR33145_R1	179903.0	2009703.0
cat_tei_MRT5815_R1	167154.0	1694095.0
cat_tei_MRT5816_R1	170710.0	1722671.0
cat_uba_PEU558_R1	190847.0	2310474.0
cat_una_RPD297_R1	188343.0	2255141.0
cat_una_RPD305_R1	157555.0	1548078.0
cat_val_PEU158_R1	183062.0	2175103.0
cat_val_PEU196_R1	191869.0	2332319.0
cat_wgu_MTR22253_R1	176819.0	1927334.0
cat_wgu_MTR22254_R1	180508.0	2026162.0
ihe_apia_CTMZ11219_R1	269548.0	2833111.0
ihe_biri_3519_R1	234398.0	4547957.0
ihe_biri_MRT9424_R1	178659.0	3284716.0
ihe_biri_MRT9425_R1	180167.0	3401610.0
ihe_camp_MTR11763_R1	308089.0	3947359.0
ihe_cana_3436_R1	271196.0	2836643.0
ihe_cana_3437_R1	308308.0	4582532.0
ihe_cana_3533_R1	316024.0	3290229.0
ihe_cana_3543_R1	316552.0	4378122.0
ihe_coti_3420_R1	155616.0	2763280.0
ihe_crag_CTMZ03573_R1	196584.0	3838679.0
ihe_eldo_CTMZ03592_R1	271422.0	2783858.0
ihe_eldo_CTMZ03593_R1	315860.0	3380441.0
ihe_embu_CTMZ03569_R1	135252.0	1801067.0
ihe_grao_MTR33250_R1	334923.0	4000841.0
ihe_grao_MTR33256_R1	333221.0	3975588.0
ihe_grao_MTR33257_R1	325351.0	4312549.0
ihe_grao_MTR33258_R1	220194.0	2354784.0
ihe_igua_3574_R1	208852.0	2298159.0
ihe_ipor_CTMZ11223_R1	172966.0	1797916.0
ihe_jacu_3588_R1	303556.0	3872846.0
ihe_jacu_3593_R1	251187.0	2559401.0
ihe_jacu_3594_R1	296089.0	3158891.0
ihe_jara_MTR21218_R1	302251.0	3247557.0
ihe_juqi_CX87_15_R1	207116.0	2076722.0
ihe_juqi_H0160_R1	324145.0	3465016.0
ihe_juqi_H0189_R1	266960.0	2785386.0
ihe_juqi_H0199_R1	311279.0	5477107.0
ihe_mira_CTMZ03575_R1	323952.0	3533362.0
ihe_parn_MTR14053_R1	271031.0	5237050.0
ihe_parn_MTR14054_R1	263599.0	2815209.0
ihe_parn_MTR14059_R1	236141.0	2614131.0
ihe_peru_LG929_R1	330614.0	4407616.0
ihe_pied_LG2250_R1	268628.0	2772167.0
ihe_pila_LG1383_R1	317408.0	4354787.0
ihe_prai_UFRGST2987_R1	305434.0	4899178.0
ihe_prai_UFRGST2988_R1	329638.0	3684788.0
ihe_ribe_CTMZ10467_R1	211950.0	4010860.0
ihe_sale_A1D1_R1	212267.0	4142023.0
ihe_sale_A1_R1	224376.0	3925644.0
ihe_sale_D2_R1	201591.0	3604299.0
ihe_saop_CTMZ13588_R1	219887.0	3587609.0
ihe_sber_ITH0155_R1	252216.0	5223928.0
ihe_sete_3117_R1	216146.0	2353303.0
ihe_stan_MTR10414_R1	153581.0	2666403.0
per_alto_MTR10788_R1	262939.0	5573390.0
per_alto_MTR10846_R1	159076.0	2924847.0
per_bana_CTMZ03176_R1	181369.0	3540143.0
per_bana_CTMZ03177_R1	218086.0	4163181.0
per_bana_CTMZ03179_R1	246351.0	4802289.0
per_bana_CTMZ03943_R1	79184.0	1099169.0
per_buri_H0309_R1	154123.0	1558665.0
per_buri_H0310_R1	192431.0	4133037.0
per_buri_H0318_R1	193649.0	4250463.0
per_cris_CTMZ03587_R1	186870.0	3731714.0
per_cunh_3317_R1	234651.0	4900994.0
per_divi_MTR15785_R1	149620.0	2330676.0
per_ibit_MTR26245_R1	155306.0	2786156.0
per_iper_MTR15554_R1	191335.0	4172956.0
per_iper_MTR15555_R1	186517.0	3680800.0
per_itam_MTR23721_R1	205394.0	4397404.0
per_itam_MTR23815_R1	153508.0	2561604.0
per_itam_MTR23818_R1	176374.0	3767630.0
per_itat_MTR26247_R1	186693.0	3554202.0
per_itat_MTR26248_R1	186550.0	3782213.0
per_mair_CTMZ11192_R1	143136.0	2398361.0
per_mair_CTMZ11193_R1	158550.0	2803295.0
per_nova_MTR17782_R1	180928.0	3126280.0
per_nova_MTR21282_R1	172197.0	2899847.0
per_nova_MTR39299_R1	226716.0	4147015.0
per_orti_IIH129_R1	242789.0	4445336.0
per_parn_MTR14060_R1	160117.0	2850460.0
per_parn_MTR14061_R1	153914.0	2606250.0
per_petr_MTR22695_R1	153686.0	2336104.0
per_petr_MTR22755_concat_R1	401376.0	4878412.0
per_petr_MTR22756_R1	150401.0	2446334.0
per_petr_MTR22757_R1	151661.0	2374585.0
per_pinh_IIH001_R1	272426.0	6385324.0
per_pira_LG1135_R1	178028.0	3059931.0
per_roci_MTR11764_R1	219814.0	3873794.0
per_roci_MTR22692_R1	185675.0	3357683.0
per_sber_UF5032_R1	237645.0	3799024.0
per_stbr_CX50_32_R1	156853.0	2281490.0
per_wbra_IIH177_R1	159103.0	3208948.0
per_wbra_IIH178_R1	158073.0	2529929.0
per_wbra_IIH196_R1	228869.0	5203355.0
pic_barr_MTR33049_R1	180376.0	2168178.0
pic_barr_MTR33050_R1	218692.0	3135677.0
pic_barr_MTR34443_R1	114917.0	956266.0
pic_barr_MTR34444_R1	172047.0	2090814.0
pic_barr_MTR34564_R1	177834.0	2064499.0
pic_boanova_MTR21438_R1	167947.0	1968331.0
pic_conc_JFT935_R1	190373.0	4211857.0
pic_leme_JC1079_R1	127506.0	1110059.0
pic_lin_MTR12080_R1	178093.0	2114950.0
pic_lin_MTR12349_R1	165556.0	2206421.0
pic_mont_MTR38677_R1	319443.0	4441907.0
pic_peru_MTJ0047_R1	161382.0	2002268.0
pic_peru_MTJ0048_R1	167237.0	2151117.0
pic_pia_MTR20125_R1	163641.0	1682871.0
pic_pia_MTR20126_R1	167445.0	1853532.0
pic_pinhe_MTR21516_R1	165977.0	1874590.0
pic_pinhe_MTR21541_R1	159590.0	1643732.0
pic_por_LG959_R1	144352.0	1186081.0
pic_por_MTR34581_R1	175347.0	1913334.0
pic_por_MTR34591_R1	181746.0	2176043.0
pic_por_MTR34592_R1	174981.0	1989380.0
pic_riri_MTR38639_R1	327059.0	3793055.0
pic_riri_MTR38682_R1	302428.0	3330441.0
pic_riri_MTR38785_R1	332404.0	4603618.0
pic_soo_MTR21546_R1	160418.0	1588817.0
pic_soo_MTR21568_R1	169722.0	2084716.0
pic_tra_MTR13503_R1	156573.0	1486722.0
uva_sale_LG1399_R1	302616.0	5198081.0
