Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
agr_buri_ITH0620_R1	agr_buri_ITH0620_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5258965.0	0.0	85.0	47.0	6.165716595197498	85.0	85	pass	pass	warn	pass	pass	warn	pass	pass	fail	warn	pass
alo_rosa_LG1370_R1	alo_rosa_LG1370_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3692788.0	0.0	85.0	48.0	8.956053407492478	85.0	85	pass	pass	warn	pass	pass	warn	pass	pass	fail	warn	pass
cat_bet_MTR33144_R1	cat_bet_MTR33144_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2197038.0	0.0	91.0	47.0	8.086677725813553	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_bet_MTR33202_R1	cat_bet_MTR33202_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2605595.0	0.0	91.0	47.0	7.456286755296322	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_bon_MTR16122_R1	cat_bon_MTR16122_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2385449.0	0.0	91.0	48.0	8.019091057812687	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_bon_MTR16123_R1	cat_bon_MTR16123_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2320626.0	0.0	91.0	48.0	8.06490758957762	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_bon_RPD024_R1	cat_bon_RPD024_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1861966.0	0.0	91.0	48.0	8.629594958982754	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_cam_PEU322_R1	cat_cam_PEU322_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1306199.0	0.0	91.0	49.0	13.863259843441439	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_cam_PEU450_R1	cat_cam_PEU450_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2426920.0	0.0	91.0	48.0	7.72563640761285	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_canav_MTR33152_R1	cat_canav_MTR33152_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2627346.0	0.0	91.0	47.0	7.344577250581649	91.0	91	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass
cat_catu_FRAG15P94_R1	cat_catu_FRAG15P94_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2893976.0	0.0	91.0	48.0	7.128500450899132	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_cond_MTR35005_R1	cat_cond_MTR35005_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2847767.0	0.0	91.0	47.0	6.845827606132025	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_cond_MTR35190_R1	cat_cond_MTR35190_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2635164.0	0.0	91.0	47.0	7.380138151313892	91.0	91	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass
cat_fazpar_RPD015_R1	cat_fazpar_RPD015_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2328126.0	0.0	91.0	48.0	7.875103124474238	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_igra_LAR009_R1	cat_igra_LAR009_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4807581.0	0.0	85.0	46.0	6.396625442091502	85.0	85	pass	pass	warn	pass	pass	fail	pass	pass	fail	warn	pass
cat_ilh_ABA45_R1	cat_ilh_ABA45_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2672801.0	0.0	91.0	48.0	8.383882748278591	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_itp_MTR33052_R1	cat_itp_MTR33052_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1797799.0	0.0	91.0	47.0	9.196026374840406	91.0	91	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass
cat_itp_MTR33053_R1	cat_itp_MTR33053_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1520555.0	0.0	91.0	47.0	10.127290752127417	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_itp_MTR33122_R1	cat_itp_MTR33122_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2389900.0	0.0	91.0	47.0	7.515373363688263	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_itp_MTR33140_R1	cat_itp_MTR33140_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1418760.0	0.0	91.0	47.0	10.234335310366005	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_jag_PEU109_R1	cat_jag_PEU109_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2547629.0	0.0	91.0	47.0	7.595646931543156	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_jeq_MTR17108_R1	cat_jeq_MTR17108_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2899148.0	0.0	91.0	47.0	6.709696724295081	91.0	91	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
cat_jeq_MTR17172_R1	cat_jeq_MTR17172_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2573435.0	0.0	91.0	48.0	7.308712214188969	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_jeq_MTR17377_R1	cat_jeq_MTR17377_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2112930.0	0.0	91.0	48.0	7.62552906479079	91.0	91	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	warn
cat_jibo_LG1377_concat_R1	cat_jibo_LG1377_concat_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6758310.0	0.0	85-91	47.0	8.749733086191744	86.73398704705762	85	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
cat_jibo_MTR18419_R1	cat_jibo_MTR18419_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4331753.0	0.0	85.0	46.0	7.174860046516396	85.0	85	pass	pass	warn	pass	pass	warn	pass	pass	fail	warn	pass
cat_lagjac_MTR33051_R1	cat_lagjac_MTR33051_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2310110.0	0.0	91.0	47.0	7.679694607150868	91.0	91	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	warn
cat_lagjac_MTR33134_R1	cat_lagjac_MTR33134_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2210727.0	0.0	91.0	47.0	7.885354308883771	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_lon_MTR16317_R1	cat_lon_MTR16317_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1762251.0	0.0	91.0	48.0	9.340311024482109	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_lon_MTR16340_R1	cat_lon_MTR16340_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1643508.0	0.0	91.0	48.0	9.456135967269978	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
cat_mig_MTR19889_R1	cat_mig_MTR19889_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2133641.0	0.0	91.0	47.0	8.046362462775187	91.0	91	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
