Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
agr_buri_ITH0620_R1	93.8342834048025	47.0	85.0	85	9.090909090909092	5258965.0
alo_rosa_LG1370_R1	91.04394659250752	48.0	85.0	85	9.090909090909092	3692788.0
cat_bet_MTR33144_R1	91.91332227418644	47.0	91.0	91	18.181818181818183	2197038.0
cat_bet_MTR33202_R1	92.54371324470368	47.0	91.0	91	18.181818181818183	2605595.0
cat_bon_MTR16122_R1	91.98090894218731	48.0	91.0	91	18.181818181818183	2385449.0
cat_bon_MTR16123_R1	91.93509241042239	48.0	91.0	91	18.181818181818183	2320626.0
cat_bon_RPD024_R1	91.37040504101725	48.0	91.0	91	18.181818181818183	1861966.0
cat_cam_PEU322_R1	86.13674015655856	49.0	91.0	91	18.181818181818183	1306199.0
cat_cam_PEU450_R1	92.27436359238715	48.0	91.0	91	18.181818181818183	2426920.0
cat_canav_MTR33152_R1	92.65542274941835	47.0	91.0	91	18.181818181818183	2627346.0
cat_catu_FRAG15P94_R1	92.87149954910086	48.0	91.0	91	18.181818181818183	2893976.0
cat_cond_MTR35005_R1	93.15417239386798	47.0	91.0	91	18.181818181818183	2847767.0
cat_cond_MTR35190_R1	92.61986184868611	47.0	91.0	91	18.181818181818183	2635164.0
cat_fazpar_RPD015_R1	92.12489687552576	48.0	91.0	91	18.181818181818183	2328126.0
cat_igra_LAR009_R1	93.6033745579085	46.0	85.0	85	18.181818181818183	4807581.0
cat_ilh_ABA45_R1	91.6161172517214	48.0	91.0	91	18.181818181818183	2672801.0
cat_itp_MTR33052_R1	90.8039736251596	47.0	91.0	91	18.181818181818183	1797799.0
cat_itp_MTR33053_R1	89.87270924787258	47.0	91.0	91	18.181818181818183	1520555.0
cat_itp_MTR33122_R1	92.48462663631173	47.0	91.0	91	18.181818181818183	2389900.0
cat_itp_MTR33140_R1	89.765664689634	47.0	91.0	91	18.181818181818183	1418760.0
cat_jag_PEU109_R1	92.40435306845684	47.0	91.0	91	18.181818181818183	2547629.0
cat_jeq_MTR17108_R1	93.29030327570491	47.0	91.0	91	27.27272727272727	2899148.0
cat_jeq_MTR17172_R1	92.69128778581103	48.0	91.0	91	18.181818181818183	2573435.0
cat_jeq_MTR17377_R1	92.37447093520922	48.0	91.0	91	27.27272727272727	2112930.0
cat_jibo_LG1377_concat_R1	91.25026691380826	47.0	86.73398704705762	85	36.36363636363637	6758310.0
cat_jibo_MTR18419_R1	92.8251399534836	46.0	85.0	85	9.090909090909092	4331753.0
cat_lagjac_MTR33051_R1	92.32030539284914	47.0	91.0	91	18.181818181818183	2310110.0
cat_lagjac_MTR33134_R1	92.11464569111622	47.0	91.0	91	18.181818181818183	2210727.0
cat_lon_MTR16317_R1	90.6596889755179	48.0	91.0	91	18.181818181818183	1762251.0
cat_lon_MTR16340_R1	90.54386403273003	48.0	91.0	91	18.181818181818183	1643508.0
cat_mig_MTR19889_R1	91.95363753722481	47.0	91.0	91	18.181818181818183	2133641.0
cat_mig_RPD188_R1	92.79151649643975	48.0	91.0	91	18.181818181818183	2653512.0
cat_nilo_PEU271_R1	92.29384546426371	47.0	91.0	91	18.181818181818183	2389511.0
cat_oli_MD1779_R1	89.98117740840343	47.0	91.0	91	18.181818181818183	1534954.0
cat_rem_MTR19915_R1	92.92103325422389	47.0	91.0	91	18.181818181818183	2533282.0
cat_rem_RPD128_R1	92.56831663058226	48.0	91.0	91	18.181818181818183	2513004.0
cat_taquara_MTR33065_R1	92.66273443527233	47.0	91.0	91	18.181818181818183	2534270.0
cat_taquara_MTR33145_R1	91.78379957553213	47.0	91.0	91	18.181818181818183	2189606.0
cat_tei_MRT5815_R1	91.0192724881385	47.0	91.0	91	18.181818181818183	1861249.0
cat_tei_MRT5816_R1	90.98385884315813	48.0	91.0	91	18.181818181818183	1893381.0
cat_uba_PEU558_R1	92.3701815183116	47.0	91.0	91	18.181818181818183	2501321.0
cat_una_RPD297_R1	92.29203200462388	48.0	91.0	91	18.181818181818183	2443484.0
cat_una_RPD305_R1	90.76266839928472	47.0	91.0	91	18.181818181818183	1705633.0
cat_val_PEU158_R1	92.23710438073283	47.0	91.0	91	18.181818181818183	2358165.0
cat_val_PEU196_R1	92.39880207195984	48.0	91.0	91	18.181818181818183	2524188.0
cat_wgu_MTR22253_R1	91.59668476460938	47.0	91.0	91	18.181818181818183	2104153.0
cat_wgu_MTR22254_R1	91.81993670225332	47.0	91.0	91	18.181818181818183	2206670.0
ihe_apia_CTMZ11219_R1	91.31236862540425	47.0	85.0	85	9.090909090909092	3102659.0
ihe_biri_3519_R1	95.0986988678235	47.0	85.0	85	18.181818181818183	4782355.0
ihe_biri_MRT9424_R1	94.84150528199226	47.0	85.0	85	18.181818181818183	3463375.0
ihe_biri_MRT9425_R1	94.96990499711714	47.0	85.0	85	18.181818181818183	3581777.0
ihe_camp_MTR11763_R1	92.76014563379732	47.0	85.0	85	9.090909090909092	4255448.0
ihe_cana_3436_R1	91.27383249078154	47.0	85.0	85	18.181818181818183	3107839.0
ihe_cana_3437_R1	93.69622151089692	47.0	85.0	85	9.090909090909092	4890840.0
ihe_cana_3533_R1	91.2367839986124	47.0	85.0	85	9.090909090909092	3606253.0
ihe_cana_3543_R1	93.25722728937916	47.0	85.0	85	9.090909090909092	4694674.0
ihe_coti_3420_R1	94.6686918892246	47.0	85.0	85	18.181818181818183	2918896.0
ihe_crag_CTMZ03573_R1	95.12836619341383	47.0	85.0	85	18.181818181818183	4035263.0
ihe_eldo_CTMZ03592_R1	91.11632103636394	47.0	85.0	85	9.090909090909092	3055280.0
ihe_eldo_CTMZ03593_R1	91.45471055479834	47.0	85.0	85	9.090909090909092	3696301.0
ihe_embu_CTMZ03569_R1	93.01502261033629	47.0	85.0	85	18.181818181818183	1936319.0
