Module	Section	Sample Name	Source
FastQC	all_sections	per_roci_MTR11764_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_roci_MTR11764_R1__fastqc.zip
FastQC	all_sections	ihe_cana_3533_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_cana_3533_R1__fastqc.zip
FastQC	all_sections	ihe_grao_MTR33258_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_grao_MTR33258_R1__fastqc.zip
FastQC	all_sections	per_bana_CTMZ03177_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_bana_CTMZ03177_R1__fastqc.zip
FastQC	all_sections	pic_soo_MTR21568_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_soo_MTR21568_R1__fastqc.zip
FastQC	all_sections	pic_por_MTR34591_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_por_MTR34591_R1__fastqc.zip
FastQC	all_sections	ihe_parn_MTR14059_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_parn_MTR14059_R1__fastqc.zip
FastQC	all_sections	ihe_grao_MTR33250_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_grao_MTR33250_R1__fastqc.zip
FastQC	all_sections	cat_una_RPD305_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_una_RPD305_R1__fastqc.zip
FastQC	all_sections	cat_jag_PEU109_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_jag_PEU109_R1__fastqc.zip
FastQC	all_sections	cat_lagjac_MTR33134_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_lagjac_MTR33134_R1__fastqc.zip
FastQC	all_sections	cat_bon_MTR16122_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_bon_MTR16122_R1__fastqc.zip
FastQC	all_sections	ihe_cana_3437_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_cana_3437_R1__fastqc.zip
FastQC	all_sections	ihe_biri_3519_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_biri_3519_R1__fastqc.zip
FastQC	all_sections	cat_uba_PEU558_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_uba_PEU558_R1__fastqc.zip
FastQC	all_sections	per_nova_MTR17782_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_nova_MTR17782_R1__fastqc.zip
FastQC	all_sections	pic_mont_MTR38677_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_mont_MTR38677_R1__fastqc.zip
FastQC	all_sections	per_petr_MTR22756_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_petr_MTR22756_R1__fastqc.zip
FastQC	all_sections	cat_canav_MTR33152_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_canav_MTR33152_R1__fastqc.zip
FastQC	all_sections	ihe_stan_MTR10414_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_stan_MTR10414_R1__fastqc.zip
FastQC	all_sections	cat_igra_LAR009_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_igra_LAR009_R1__fastqc.zip
FastQC	all_sections	per_mair_CTMZ11193_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_mair_CTMZ11193_R1__fastqc.zip
FastQC	all_sections	ihe_grao_MTR33257_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_grao_MTR33257_R1__fastqc.zip
FastQC	all_sections	per_bana_CTMZ03179_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_bana_CTMZ03179_R1__fastqc.zip
FastQC	all_sections	per_ibit_MTR26245_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_ibit_MTR26245_R1__fastqc.zip
FastQC	all_sections	per_itat_MTR26247_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_itat_MTR26247_R1__fastqc.zip
FastQC	all_sections	ihe_grao_MTR33256_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_grao_MTR33256_R1__fastqc.zip
FastQC	all_sections	per_mair_CTMZ11192_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_mair_CTMZ11192_R1__fastqc.zip
FastQC	all_sections	pic_barr_MTR34443_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_barr_MTR34443_R1__fastqc.zip
FastQC	all_sections	per_roci_MTR22692_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_roci_MTR22692_R1__fastqc.zip
